#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
String_does_not_contribute_to_the_decor;doesn't really contribute to the decor of my [Root.GetCapitalHolding];ne contribue pas vraiment à la décoration [Root.GetCapitalHoldingDuDela];trägt nicht zum Dekor meiner [Root.GetCapitalHolding] bei;;no le aporta mucho a la decoración de mi [Root.GetCapitalHolding];Non contribuisce realmente al decoro della mia [Root.GetCapitalHolding];;;;;;;;x
String_do_not_contribute_to_the_decor;don't really contribute to the decor of my [Root.GetCapitalHolding];ne contribuent pas vraiment à la décoration [Root.GetCapitalHoldingDuDela];tragen nicht zum Dekor meiner [Root.GetCapitalHolding] bei;;no le aportan mucho a la decoración de mi [Root.GetCapitalHolding];Non contribuisce realmente al decoro della mia [Root.GetCapitalHolding];;;;;;;;x
String_is_somewhat_pretty;is somewhat nice to look at;est assez agréable à regarder;sieht eigentlich recht nett aus;;es agradable a la vista;è in parte gradevole alla vista;;;;;;;;x
String_are_somewhat_pretty;are somewhat nice to look at;sont assez agréables à regarder;sehen eigentlich recht nett aus;;son agradables a la vista;sono in parte gradevoli alla vista;;;;;;;;x
String_makes_me_shiver;makes me shiver;me fait frissonner;lässt mich erschauern;;me da escalofríos;mi fa tremare;;;;;;;;x
String_make_me_shiver;make me shiver;me font frissonner;lassen mich erschauern;;me dan escalofríos;mi fanno tremare;;;;;;;;x
String_might_possess_hidden_uses;could perhaps possess some hidden properties;pourrait posséder quelques propriétés cachées;könnte womöglich einige verborgene Eigenschaften besitzen;;quizá tenga propiedades ocultas;potrebbe possedere qualche proprietà nascoste;;;;;;;;x
String_reeks;makes my nose twitch from its reeking;me fait reculer à cause de sa puanteur;strahlt einen abstoßenden Gestank aus;;su hedor provoca que se me arrugue la nariz;Mi fa arricciare il naso a causa del suo odore;;;;;;;;x
String_reek;make my nose twitch from their reeking;me font reculer à cause de leur puanteur;strahlen einen abstoßenden Gestank aus;;su hedor provoca que se me arrugue la nariz;Mi fanno arricciare il naso a causa del loro odore;;;;;;;;x
String_glitters;glitters faintly;scintille légèrement;glitzert ein wenig;;brilla vagamente;scintilla debolmente;;;;;;;;x
String_glitter;glitter faintly;scintillent légèrement;glitzern ein wenig;;brillan vagamente;scintillano debolmente;;;;;;;;x
EVTDESC_MNM_5110;My fellow members of the Order sometimes speak of intricate charms and recipes to ward off evil, and perhaps I should take precautions too. Considering the stars of the [GetWesternZodiacSign], I nod to myself – the [GetSelectedIngredient_1] on my shelves [GetSelectedIngredient_1_property].;Mes frères de l'Ordre parlent parfois de charmes et de recettes complexes pour chasser le mal, et peut-être devrais-je aussi prendre des précautions. Compte tenu des étoiles du signe '[GetWesternZodiacSign]', me dis-je à moi-même - [Get_le_SelectedIngredient_1] sur mes étagères [GetSelectedIngredient_1_property].;Die anderen Ordensmitglieder sprechen zuweilen von kunstvollen Amuletten, Zaubersprüchen und Rezepturen, um Böses abzuwenden. Vielleicht sollte ich ebenfalls Vorsichtsmaßnahmen ergreifen. Angesichts der Sterne des Zeichens [GetWesternZodiacSign] nicke ich mir selbst zu: [GetSelectedIngredient_1] in meinen Regalen, [GetSelectedIngredient_1_property].;;A veces, mis compañeros de la Orden hablan de recetas y encantamientos complicados para mantener alejado al mal. Quizás yo también deba tomar precauciones. Considerando las estrellas de [GetWesternZodiacSign], asiento. Tengo [GetSelectedIngredient_1] en mis estantes [GetSelectedIngredient_1_property].;I miei fratelli dell'Ordine parlano talvolta di incantesimi e ricette intricate per allontanare il male, e forse dovrei prendere anch'io delle precauzioni. Contemplando le stelle di [GetWesternZodiacSign], annuisco a me stesso - il [GetSelectedIngredient_1] sui miei ripiani [GetSelectedIngredient_1_property].;;;;;;;;x
EVTOPTA_MNM_5110;The [GetSelectedIngredient_1] strategically placed in my quarters should suffice.;Placer [Get_du_SelectedIngredient_1] stratégiquement dans mes quartiers devrait suffire.;Es dürfte genügen, [GetSelectedIngredient_1] in meinen Gemächern strategisch zu platzieren.;;Tengo [GetSelectedIngredient_1] en un lugar estratégico de mis aposentos. Eso servirá.;Posizionare [GetSelectedIngredient_1] strategicamente nei miei quartieri sarà sufficiente.;;;;;;;;x
EVTOPTB_MNM_5110;I will use a combination of elements for this task.;Je vais utiliser une combinaison d'éléments pour cette tâche.;Ich werde für diese Aufgabe eine Kombination von Elementen verwenden.;;Combinaré una serie de elementos para esta tarea.;Combinerò una serie di elementi per questo compito.;;;;;;;;x
EVTOPTC_MNM_5110;I'll paint my whole castle with the holy symbols! It's the only way!;Je vais peindre des symboles sacrés sur chaque mur ! C'est la seule solution !;Ich werde meine ganze Burg mit den heiligen Symbolen bemalen! Das ist der einzige Weg!;;¡Pintaré todo el castillo con los símbolos sagrados! ¡Es la única manera!;Dipingerò tutto il mio castello con i simboli sacri! È l'unico modo!;;;;;;;;x
EVTOPTD_MNM_5110;This is foolish paranoia.;C'est de la pure paranoïa.;Das ist närrischer Verfolgungswahn.;;Todo esto es pura paranoia.;Tutto questo è una pura paranoia.;;;;;;;;x
must_have_ingredients_tt;Has at least two §YIngredients§!;A au moins deux §Yingrédients§!;Hat mindestens zwei §YZutaten§!;;Tiene al menos dos §Yingredientes§!.;Servono almeno due §YIngredienti§!;;;;;;;;x
EVTDESC_MNM_5115_self;In this state, I almost do not care about the quality of my potion. Still, while rummaging through my drawers, I can't quite decide on which ingredients to use... The [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], I suppose.;Dans cet état, je ne me soucie presque pas de la qualité de ma potion. Pourtant, tout en fouillant à travers mes tiroirs, je ne peux pas tout à fait décider sur quels ingrédients utiliser... [Get_le_SelectedIngredient_1] qui [GetSelectedIngredient_1_property], je suppose.;In diesem Zustand mache ich mir um die Qualität meines Trankes fast keine Sorgen. Dennoch kann ich beim Durchstöbern meiner Schubladen nicht so recht entscheiden, welche Zutaten ich verwenden soll ... [GetSelectedIngredient_1], [GetSelectedIngredient_1_property], nehme ich an.;;En este momento, me da bastante igual la calidad de mi poción. Sin embargo, mientras hurgo en mis cajones, no logro decidirme por los ingredientes... [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], supongo.;In questo momento, non sono particolarmente interessato alla qualità della mia pozione. Pertanto, mentre rovisto nei miei cassetti, non riesco a decidere quali ingredienti utilizzare... Il [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], suppongo.;;;;;;;;x
EVTDESC_MNM_5115_other;[potion_target.GetTitledFirstName] will likely accept my brew, regardless of the quality. However, sifting through my recipes, I can't quite decide on which ingredients to use... While the [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], I wonder what my [potion_target.GetRootRelation] would think.;[potion_target.Get_Le_TitledFirstName] acceptera probablement mon infusion, quelle qu'en soit la qualité. Cependant, passant en revue mes recettes, je n'arrive pas à décider quels ingrédients utiliser... [Get_le_SelectedIngredient_1] [GetSelectedIngredient_1_property], mais je me demande ce que m[potion_target.GetOnA] [potion_target.GetRootRelation] en penserait.;[potion_target.GetTitledFirstName] wird mein Gebräu wahrscheinlich unerachtet der Qualität akzeptieren. Ich kann jedoch beim Durchsuchen meiner Rezepturen nicht so recht entscheiden, welche Zutaten ich verwenden soll ... [GetSelectedIngredient_1], [GetSelectedIngredient_1_property], doch ich frage mich, was m[potion_target.Geteineine] [potion_target.GetRootRelation] davon halten würde.;;Probablemente [potion_target.GetTitledFirstName] acepte mi preparación sin mirar la calidad. Sin embargo, mientras hurgo entre mis recetas, no logro decidirme por los ingredientes... [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], pero me pregunto qué pensará mi [potion_target.GetRootRelation].;[potion_target.GetTitledFirstName] accetterà probabilmente il mio infuso, senza badare alla qualità. Tuttavia, cercando tra le mie ricette, non riesco a decidere quali ingredienti utilizzare... Mentre prendo il [GetSelectedIngredient_1] [GetSelectedIngredient_1_property], mi chiedo che cosa avrebbe scelto il mio [potion_target.GetRootRelation] .;;;;;;;;x
EVTOPTA_MNM_5115_herb;Some crushed [GetSelectedIngredient_1] feels about right.;Prendre [Get_du_SelectedIngredient_1] écrasé semble bien.;Etwas zerdrücktes [GetSelectedIngredient_1] erscheint mir angemessen.;;Machacaré un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;Schiacciare un po' di [GetSelectedIngredient_1] sembra la cosa giusta da fare.;;;;;;;;x
EVTOPTA_MNM_5115_animal_part;Some coarsely ground [GetSelectedIngredient_1] feels about right.;Un peu d[Get_e_SelectedIngredient_1] moulu semble bien.;Etwas grob zermahlenes [GetSelectedIngredient_1] erscheint mir angemessen.;;Machacaré ligeramente un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;Alcuni [GetSelectedIngredient_1] grossolanamente macinati sembrano la cosa giusta.;;;;;;;;x
EVTOPTA_MNM_5115_powder;A few flakes of [GetSelectedIngredient_1] feels about right.;De la poudre d[Get_e_SelectedIngredient_1] semble bien.;Ein paar Flocken [GetSelectedIngredient_1] erscheinen mir angemessen.;;Unas láminas de [GetSelectedIngredient_1]... Creo que es lo correcto.;Qualche fiocco di [GetSelectedIngredient_1] andrà bene.;;;;;;;;x
EVTOPTA_MNM_5115_liquid;A little [GetSelectedIngredient_1] feels about right.;Prendre [Get_du_SelectedIngredient_1] semble bien.;Ein wenig [GetSelectedIngredient_1] erscheint mir angemessen.;;Un poco de [GetSelectedIngredient_1]... Creo que es lo correcto.;Un po' di [GetSelectedIngredient_1] andrà bene.;;;;;;;;x
EVTOPTB_MNM_5115_herb;A bit of crushed [GetSelectedIngredient_2] gives that particular scent.;Prendre [Get_du_SelectedIngredient_2] en poudre donnerait un parfum particulier.;Ein bisschen zerdrücktes [GetSelectedIngredient_2] erzeugt diesen besonderen Geruch.;;Si machaco una pizca de [GetSelectedIngredient_2], le dará un aroma particular.;Un pizzico di polvere di [GetSelectedIngredient_2] produrrà un profumo particolare.;;;;;;;;x
EVTOPTB_MNM_5115_animal_part;Some dried [GetSelectedIngredient_2] leaves a potent after-taste.;Prendre [Get_du_SelectedIngredient_2] en poudre laisserait un fort arrière-goût.;Etwas getrocknetes [GetSelectedIngredient_2] hinterlässt einen starken Nachgeschmack.;;Unas hojas secas de [GetSelectedIngredient_2] le darán un regusto intenso.;Un po' di [GetSelectedIngredient_2] essiccato produrrà un forte retrogusto.;;;;;;;;x
EVTOPTB_MNM_5115_powder;Some sprinkles of [GetSelectedIngredient_2] should do the trick!;Une pincée d[Get_e_SelectedIngredient_2] devrait faire l'affaire !;Eine Prise [GetSelectedIngredient_2] dürfte den gewünschten Zweck erfüllen!;;¡Unas gotitas de [GetSelectedIngredient_2] deberían bastar!;Qualche spruzzo di [GetSelectedIngredient_2] dovrebbe bastare!;;;;;;;;x
EVTOPTB_MNM_5115_liquid;A few drops of [GetSelectedIngredient_2] is perhaps the best option.;Quelques gouttes d[Get_e_SelectedIngredient_2] est peut-être la meilleure option.;Ein paar Tropfen [GetSelectedIngredient_2] sind vielleicht die beste Wahl.;;Algunas gotas de [GetSelectedIngredient_2] puede que sean la mejor opción.;Qualche goccia di [GetSelectedIngredient_2] potrebbe essere l'opzione migliore.;;;;;;;;x
EVTOPTC_MNM_5115_herb;A single dose of crushed [GetSelectedIngredient_2] should be adequate.;Une seule dose d[Get_e_SelectedIngredient_2] devrait être adéquate.;Eine einzige Dosis zerdrücktes [GetSelectedIngredient_2] dürfte angemessen sein.;;Una sola dosis de [GetSelectedIngredient_2] machacado/a debería valer.;Una singola dose di [GetSelectedIngredient_2] in polvere dovrà essere sufficiente.;;;;;;;;x
EVTOPTC_MNM_5115_animal_part;A moderate amount of ground [GetSelectedIngredient_2] should suffice.;Une quantité modérée d[Get_e_SelectedIngredient_2] devrait suffire.;Eine bescheidene Menge zermahlenes [GetSelectedIngredient_2] dürfte genügen.;;Una cantidad moderada de [GetSelectedIngredient_2] en polvo debería bastar.;Una quantità moderata di [GetSelectedIngredient_2] in polvere dovrebbe essere sufficiente.;;;;;;;;x
EVTOPTC_MNM_5115_powder;Some sprinkles of [GetSelectedIngredient_2] is just what I need.;Une pincée d[Get_e_SelectedIngredient_2] est exactement ce dont j'ai besoin.;Eine Prise [GetSelectedIngredient_2] ist genau das, was ich brauche.;;Unas gotitas de [GetSelectedIngredient_2] es justo lo que necesito.;Una spruzzata di [GetSelectedIngredient_2] è ciò di cui ho bisogno.;;;;;;;;x
EVTOPTC_MNM_5115_liquid;A splash of [GetSelectedIngredient_2] is perhaps the best option.;Un petit peu d[Get_e_SelectedIngredient_2] est peut-être la meilleure option.;Ein Schuss [GetSelectedIngredient_2] ist vielleicht die beste Wahl.;;Un chorrito de [GetSelectedIngredient_2] puede que sea la mejor opción.;Una spruzzata di [GetSelectedIngredient_2] forse è la scelta migliore.;;;;;;;;x
EVTOPTD_MNM_5115;I might just combine the two!;Je pourrais simplement combiner les deux !;Ich könnte ja beides kombinieren!;;¡Combinaré las dos cosas!;Potrei combinarne le due cose!;;;;;;;;x
EVTOPTD_MNM_5115_duplicate;I could also use twice as much...!;Je pourrais aussi en utiliser le double !;Ich könnte auch die doppelte Menge nehmen!;;¿Y si le pongo el doble...?;Potrei anche usarne il doppio...!;;;;;;;;x
EVTOPTE_MNM_5115;Actually, I'll just empty the cabinet. Throw it all in there!;En fait, je vais juste vider le coffret et tout y mettre !;Ich werde einfach den ganzen Schrank leeren. Werft alles hinein!;;De hecho, voy a vaciar la botica. ¡Lo pondré todo!;In realtà, svuoterò l'armadio. Gettando tutto laggiù!;;;;;;;;x
EVTOPTE_MNM_5115_tt;Desperate times call for desperate measures.\n;À situation désespérée, solution désespérée.\n;Außergewöhnliche Zeiten erfordern außergewöhnliche Maßnahmen.\n;;Los momentos desesperados requieren medidas desesperadas.\n;Le situazioni disperate richiedono misure critiche.\n;;;;;;;;x
must_not_already_be_preparing_potion_tt;NOT already preparing a potion;Ne prépare pas déjà un breuvage magique;Bereitet NICHT bereits einen Trank zu;;Aún no está preparando una poción.;NON ha ancora preparato una pozione;;;;;;;;x
EVTDESC_MNM_4950;After spending some time talking with [From.GetTitledFirstName], I have provided enough spiritual guidance to free [From.GetHerHim] of [From.GetHerHis] sinful ways.;J'ai fourni suffisamment de conseils spirituels [From.Get_au_TitledFirstName] pour [From.GetLeLa] libérer de ses mauvais penchants.;Nachdem ich einige Zeit mit [From.GetTitledFirstName] gesprochen habe, habe ich genug spirituelle Weisung erteilt, um [From.GetTitledFirstName] von [From.GetHerHis]em sündigen Lebenswandel abzubringen.;;Tras haber hablado un buen rato con [From.GetTitledFirstName], mi orientación espiritual hará que abandone sus costumbres pecaminosas.;Dopo aver trascorso qualche tempo a parlare con [From.GetTitledFirstName], ho fornito sufficienti consigli spirituali per liberare [From.GetHerHim] dai [From.GetHerHis]i comportamenti peccaminosi.;;;;;;;;x
EVTDESC_MNM_4951;After spending some time talking with [FromFrom.GetTitledFirstName], I have realized the errors of my ways and freed myself of my sinful ways.;J'ai réalisé en parlant avec [FromFrom.Get_le_TitledFirstName] que mon comportement était fautif et me suis libéré[Root.Get_E] de mes mauvais penchants.;Nachdem ich einige Zeit mit [FromFrom.GetTitledFirstName] gesprochen habe, habe ich die Fehler meines Lebenswandels eingesehen und von meinem sündigen Lebenswandel abgelassen.;;Tras haber hablado un buen rato con [FromFrom.GetTitledFirstName], he reconocido mis errores y me he liberado de mis costumbres pecaminosas.;Dopo aver trascorso qualche tempo a parlare con [FromFrom.GetTitledFirstName], ho riconosciuto gli errori dei miei comportamenti e mi sono liberato dei miei costumi peccaminosi.;;;;;;;;x
EVTDESC_MNM_4960;[From.GetTitledFirstName] listened to me carefully as I explained to [From.GetHerHim] how to be more virtuous, and [From.GetSheHe] seems to have come out of our discussion a better [From.GetManWoman].;[From.Get_Le_TitledFirstName] m'a écouté attentivement lorsque je lui ai expliqué comment être plus vertueu[From.GetXSe], et [From.GetIlElle] semble être devenu[From.Get_E] un[From.Get_E] meilleur[From.Get_E] [From.GetManWoman] après notre discussion.;[From.GetTitledFirstName] hat mir aufmerksam zugehört, als ich erklärte, wie [From.GetSheHe] tugendhafter sein könne, und scheint durch unsere Unterhaltung ein besserer Mensch geworden zu sein.;;[From.GetTitledFirstName] me ha escuchado atentamente mientras le explicaba cómo adquirir mayor virtud y parece que, a raíz de nuestra conversación, ahora es una persona mejor.;[From.GetTitledFirstName] mi ha ascoltato con attenzione mentre ho spiegato a [From.GetHerHim] come essere più virtuoso, e [From.GetSheHe] sembra essere divenuto un migliore [From.GetManWoman] dopo la nostra discussione .;;;;;;;;x
EVTDESC_MNM_4961;[FromFrom.GetTitledFirstName] clearly explained how [From.GetSheHe] deals with this sometimes unforgiving and stressful life through virtue. Listening to [FromFrom.GetHerHim], I have learned to be more at peace with myself, by being more virtuous.;[FromFrom.Get_Le_TitledFirstName] a clairement expliqué comment [From.GetIlElle] gérait cette vie parfois impitoyable et stressante en faisant preuve de vertu. En l'écoutant, j'ai appris à être plus en paix avec moi-même, à être moi aussi vertueu[Root.GetXSe].;[FromFrom.GetTitledFirstName] hat klar erläutert, wie [From.GetSheHe] durch Tugend mit diesem zuweilen erbarmungslosen und aufreibenden Leben zurechtkommt. Indem ich [FromFrom.GetHerHis]en Worten lauschte, habe ich gelernt, durch eine tugendhaftere Lebensweise meinen Frieden zu finden.;;[FromFrom.GetTitledFirstName] me ha explicado claramente cómo se enfrenta a esta vida, a menudo despiadada y azarosa, mediante la virtud. He escuchado atentamente y he aprendido a estar en paz con mi persona profesando una mayor virtud.;[FromFrom.GetTitledFirstName] ha chiaramente spiegato come [From.GetSheHe] affronta questa vita talvolta implacabile e stressante attraverso la virtù. Ascoltando [FromFrom.GetHerHim], ho imparato ad essere più in pace con me, a essere più virtuoso.;;;;;;;;x
monastic_orders_spiritual_guidance;Give Spiritual Guidance;Donner des conseils spirituels;Spirituelle Weisung erteilen;;Dar orientación espiritual;Dai un Orientamento Spirituale;;;;;;;;x
monastic_orders_spiritual_guidance_desc;You know [Root.GetTitledFirstName] to be a sinful person. As such you can provide spiritual guidance to help rid [Root.GetHerHim] of one of [Root.GetHerHis] vices.;Vous savez que [Root.Get_le_TitledFirstName] est dans le péché. En tant que tel, vous pouvez lui donner des conseils spirituels pour l'aider à se débarrasser d'un des ses vices.;Ihr wisst, dass [Root.GetTitledFirstName] ein sündhafter Mensch ist. Daher könnt Ihr spirituelle Weisung erteilen, damit [Root.GetSheHe] eines [Root.GetHerHis]er Laster aufgibt.;;Sabes que [Root.GetTitledFirstName] es una persona pecaminosa. Puedes proporcionarle orientación espiritual para conseguir que abandone uno de sus vicios.;Sai che [Root.GetTitledFirstName] è una persona peccaminosa. In quanto tale tu puoi fornire dei consigli spirituali per aiutare [Root.GetHerHim] a liberarsi da uno dei [Root.GetHerHis] vizi.;;;;;;;;x
monastic_orders_spiritual_guidance_power_desc;Enables you to §Gright-click§! on landed characters within your realm, or relatives, or fellow society members, in order to remove one of their vices. You can only remove a vice that you don't have yourself.;Permet de faire perdre un vice que vous n'avez pas à un personnage possédant des terres dans votre pays, un parent ou un membre de votre société.\n(Faites un clic droit sur leurs portraits);Ermöglicht einen §GRechtsklick§! auf begüterte Personen in Eurem Reich, auf Verwandte oder auf andere Mitglieder Eures Zirkels, um sie von einem ihrer Laster zu befreien. Ihr könnt nur ein Laster entfernen, das Ihr selbst nicht habt.;;Te permite hacer §Gclic con el botón secundario§! sobre personajes hacendados de tu reino, familiares o miembros de una sociedad a la que perteneces para eliminar uno de sus vicios. Solo puedes eliminar un vicio que tú no tengas.;Ti consente il §GClic Destro§! sui personaggi all'interno del tuo regno, o sui parenti, sui membri di una società, per rimuovere uno dei loro vizi. Puoi solo rimuovere un vizio che non hai.;;;;;;;;x
opinion_spiritual_guidance;Received Spiritual Guidance;A reçu des conseils spirituels;Erhielt spirituelle Weisung;;Orientación espiritual recibida;Orientamento Spirituale Ricevuto;;;;;;;;x
spiritual_guidance_tooltip;Has a sin that §Y[From.GetTitledFirstName]§! does NOT have;A un péché que [From.Get_le_TitledFirstNameJ] n'a pas;Hat eine Sünde, die §Y[From.GetTitledFirstName]§! NICHT hat;;Tiene un pecado que §Y[From.GetTitledFirstName]§! NO tiene.;Ha un segno che §Y[From.GetTitledFirstName]§! NON ha;;;;;;;;x
monastic_orders_teach_virtue;Teach Virtue;Enseigner la vertu;Tugend lehren;;Inculcar virtud;Insegna la Virtù;;;;;;;;x
monastic_orders_teach_virtue_desc;You have noticed how [Root.GetTitledFirstName] sometimes struggles with doing the right thing. You could change that by teaching [Root.GetHerHim] one of your many virtues.;Vous avez remarqué que [Root.Get_le_TitledFirstName] a du mal à bien se comporter. Vous pourriez l'aider en lui enseignant une de vos vertus.;Ihr habt bemerkt, dass es [Root.GetTitledFirstName] zuweilen schwerfällt, das Richtige zu tun. Dies könnt Ihr ändern, indem Ihr [Root.GetTitledFirstName] eine Eurer vielen Tugenden lehrt.;;Has notado que a veces [Root.GetTitledFirstName] tiene problemas para hacer lo correcto. Puedes cambiar esto inculcando a esta persona una de tus muchas virtudes.;Hai notato che [Root.GetTitledFirstName] talvolta si sforza di fare la cosa giusta. Potresti contraccambiare, insegnando a [Root.GetHerHim] una delle tue molte virtù.;;;;;;;;x
monastic_orders_teach_virtue_power_desc;Enables you to §Gright-click§! on landed characters within your realm, relatives, or fellow society members, in order to give them a new virtue. You can only add a virtue that you have yourself.;Permet de transmettre une de vos vertus à un personnage possédant des terres dans votre pays, un parent ou un membre de votre société.\n(Faites un clic droit sur leurs portraits);Ermöglicht einen §GRechtsklick§! auf begüterte Personen in Eurem Reich, auf Verwandte oder auf andere Mitglieder Eures Zirkels, um ihnen eine neue Tugend zu geben. Ihr könnt nur eine Tugend hinzufügen, die Ihr selbst besitzt.;;Te permite hacer §Gclic con el botón secundario§! sobre personajes hacendados de tu reino, familiares o miembros de una sociedad a la que perteneces para darles una nueva virtud. Solo puedes añadir una virtud que tú ya poseas.;Ti consente il §GClic Destro§! sui personaggi all'interno del tuo regno, o sui parenti, sui membri di una società, per trasmettergli una nuova virtù. Puoi solo trasmettere una virtù che non hai.;;;;;;;;x
opinion_teach_virtue;Taught a Virtue;A transmis une vertu;Hat eine Tugend gelehrt;;Virtud inculcada;Virtù Trasmessa;;;;;;;;x
teach_virtue_tooltip;Does NOT have all the virtues that §Y[From.GetTitledFirstName]§! has;N'a pas toutes les vertus que [From.Get_le_TitledFirstNameJ] a;Besitzt NICHT alle Tugenden, die §Y[From.GetTitledFirstName]§! besitzt;;NO tiene todas las virtudes que tiene §Y[From.GetTitledFirstName]§!.;NON possiede tutte le virtù che possiede §Y[From.GetTitledFirstName]§!;;;;;;;;x
EVTDESC20271;To [Root.GetTitledFirstName],\nYour findings have proven to be most fascinating and I am now convinced to follow in your footsteps and immediately convert to the [Root.Religion.GetName] faith. However, I have chosen to keep this hidden to avoid prying eyes. I urge you to do the same!\n\nYour liege, [From.GetTitledFirstName];[Root.GetTitledFirstName],\nVos conclusions se sont avérées être des plus fascinantes et je suis déterminé[From.Get_E] à suivre vos pas et à adopter la foi [Root.Religion.GetName]. Cependant, j'ai choisi de le garder caché pour éviter les regards indiscrets. Je vous exhorte à faire de même !\n\nVotre [From.GetLordLady] lige, [From.GetTitledFirstName];An [Root.GetTitledFirstName],\nEure Erkenntnisse haben sich als höchst interessant erwiesen und ich bin jetzt so überzeugt, dass ich es Euch gleichtun und sofort zum [Root.Religion.GetName]en Glauben konvertieren werde. Ich habe jedoch beschlossen, dies geheim zu halten, um keine neugierigen Blicke auf mich zu lenken. Ich bitte Euch eindringlich, dasselbe zu tun!\n\nEuer Lehnsherr [From.GetTitledFirstName];;[Root.GetTitledFirstName]:\nTus averiguaciones han resultado fascinantes y me he decidido a seguir tus pasos y convertirme a la fe [Root.Religion.GetName]. Sin embargo, prefiero mantenerlo oculto a las malas lenguas. ¡Te aconsejo que hagas lo mismo!\n\nTu señor/a, [From.GetTitledFirstName].;All'attenzione di [Root.GetTitledFirstName],\nLe tue scoperte sono rivelate essere più affascinanti ed ora io mi sono convinto a seguire i tuoi passi e convertirmi immediatamente alla fede [Root.Religion.GetName]. Tuttavia, ho scelto di tenerlo nascosto per evitare le malelingue. Ti esorto a fare lo stesso!\n\nTuo signore, [From.GetTitledFirstName];;;;;;;;x
EVTOPTA20271;A wise decision.;Une sage décision.;Eine weise Entscheidung.;;Sabia decisión.;una saggia decisione.;;;;;;;;x
EVTOPTB20271;To hide who I am? Never!;Pour cacher qui je suis ? Jamais !;Verbergen, wer ich bin? Niemals!;;¿Ocultar lo que soy? ¡Jamás!;Per nascondere chi sono? Mai!;;;;;;;;x
secretly_convert_to_province_religion;Secretly Convert to [Root.Location.Religion.GetName];Adopter en secret la foi [Root.Location.Religion.GetName];Heimlich zur [Root.Location.Religion.GetName]en Religion konvertieren;;Convertirse en secreto a esta religión: [Root.Location.Religion.GetName];Convertirsi in segreto alla religione [Root.Location.Religion.GetName];;;;;;;;x
secretly_convert_to_province_religion_desc;The §Y[Root.Location.Religion.GetName]§! people in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. The glory of §Y[Root.Location.Religion.GetRandomGodName]§! calls to me, and I am tempted to convert in secrecy...;Les personnes de religion §Y[Root.Location.Religion.GetName]§! en §Y[Root.Location.GetName]§! m'impressionnent par la profondeur et la passion de leur foi. La gloire §Y[Root.Location.Get_du_HighGod]§! m'appelle, et je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[Root.Location.Religion.GetName]en§! Menschen in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Die Glorie von §Y[Root.Capital.Religion.GetRandomGodName]§! zieht mich an und ich bin versucht, heimlich zu konvertieren ...;;La gente del credo §Y[Root.Location.Religion.GetName]§! de §Y[Root.Location.GetName]§! me impresiona con la profundidad y la pasión de su fe. La gloria de §Y[Root.Capital.Religion.GetRandomGodName]§! me llama, y siento la tentación de convertirme en secreto...;La popolazione §Y[Root.Location.Religion.GetName]§! in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. La gloria di §Y[Root.Location.Religion.GetRandomGodName]§! mi chiama, ed io sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_close_relations_religion;Secretly Convert to [Root.Religion.GetName];Adopter en secret la foi [Root.Religion.GetName];Heimlich zur Religion [Root.Religion.GetName] konvertieren;;Convertirse en secreto a esta religión: [Root.Religion.GetName];Convertirsi in segreto alla religione [Root.Religion.GetName];;;;;;;;x
secretly_convert_to_close_relations_religion_desc;The §Y[Root.Religion.GetName]§! faith of §Y[Root.GetFirstName]§! intrigues and fascinates me. I could not embrace it openly, but I am tempted to convert in secrecy...;La foi §Y[Root.Religion.GetName]§! de §Y[Root.GetFirstName]§! m'intrigue et me fascine. Je ne peux pas l'embrasser ouvertement, mais je suis tenté[Root.Get_E] de me convertir en secret...;Der Glaube von §Y[Root.GetFirstName]§! an die §Y[Root.Religion.GetName]e§! Religion interessiert und fasziniert mich. Ich könnte den Glauben nicht offen annehmen, bin jedoch versucht, heimlich zu konvertieren ...;;El credo §Y[Root.Religion.GetName]§! de §Y[Root.GetFirstName]§! me intriga y fascina. No podría abrazarlo abiertamente, pero siento la tentación de convertirme en secreto...;La fede §Y[Root.Religion.GetName]§! di §Y[Root.GetFirstName]§! mi intriga e mi affascina. Non posso abbracciarla apertamente, ma sono tentato di convertirmi in segreto ...;;;;;;;;x
